node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1,drug_resistance_1,drug_resistance_2
0,1.4837,1,4837,-1,#0000ff,0.0,0.0,0.0
511,.,19,-1,0,#0000ff,0.0,0.0,0.0
509,.,51,-1,511,#0000ff,0.0,0.0,0.0
55,239.1298,239,1298,509,#4000bf,0.2,0.0,0.0
508,.,54,-1,509,#0000ff,0.0,0.0,0.0
276,.,621,-1,508,#4000bf,0.2,0.0,0.2
203,624.407,624,407,276,#4000bf,0.2,0.0,0.2
265,725.131,725,131,276,#4000bf,0.2,0.0,0.4
505,.,62,-1,508,#0000ff,0.0,0.0,0.0
19,155.6120,155,6120,505,#0000ff,0.0,0.0,0.0
472,.,83,-1,505,#0000ff,0.0,0.0,0.0
423,.,102,-1,472,#0000ff,0.0,0.0,0.0
247,698.9868,698,9868,423,#80007f,0.4,0.0,0.0
419,.,104,-1,423,#0000ff,0.0,0.0,0.0
32,175.3047,175,3047,419,#0000ff,0.0,0.0,0.0
33,175.5866,175,5866,419,#0000ff,0.0,0.0,0.0
462,.,86,-1,472,#0000ff,0.0,0.0,0.0
52,232.3860,232,3860,462,#0000ff,0.0,0.0,0.0
62,254.6027,254,6027,462,#0000ff,0.0,0.0,0.2
396,.,300,-1,462,#4000bf,0.2,0.0,0.0
81,313.5636,313,5636,396,#4000bf,0.2,0.0,0.0
122,449.5324,449,5324,396,#4000bf,0.2,0.0,0.0
510,.,27,-1,511,#0000ff,0.0,0.0,0.0
48,227.4044,227,4044,510,#0000ff,0.0,0.0,0.0
507,.,57,-1,510,#0000ff,0.0,0.0,0.0
503,.,69,-1,507,#0000ff,0.0,0.0,0.0
45,203.309,203,309,503,#0000ff,0.0,0.0,0.0
59,251.2748,251,2748,503,#0000ff,0.0,0.0,0.0
153,527.6659,527,6659,503,#0000ff,0.0,0.0,0.0
500,.,71,-1,503,#0000ff,0.0,0.0,0.0
40,196.27,196,27,500,#4000bf,0.2,0.0,0.0
448,.,90,-1,500,#0000ff,0.0,0.0,0.0
67,270.9714,270,9714,448,#4000bf,0.2,0.0,0.0
428,.,100,-1,448,#4000bf,0.2,0.0,0.0
35,190.4490,190,4490,428,#4000bf,0.2,0.0,0.0
79,311.482,311,482,428,#4000bf,0.2,0.0,0.0
497,.,72,-1,500,#0000ff,0.0,0.0,0.0
474,.,82,-1,497,#0000ff,0.0,0.0,0.0
3,107.5152,107,5152,474,#0000ff,0.0,0.0,0.0
143,508.9601,508,9601,474,#0000ff,0.0,0.0,0.0
457,.,88,-1,474,#0000ff,0.0,0.0,0.0
14,142.7394,142,7394,457,#0000ff,0.0,0.0,0.0
29,172.5536,172,5536,457,#0000ff,0.0,0.0,0.0
487,.,79,-1,497,#0000ff,0.0,0.0,0.0
420,.,104,-1,487,#0000ff,0.0,0.0,0.0
7,120.6104,120,6104,420,#0000ff,0.0,0.0,0.0
408,.,246,-1,420,#0000ff,0.0,0.0,0.2
84,319.2280,319,2280,408,#0000ff,0.0,0.0,0.2
403,.,281,-1,408,#0000ff,0.0,0.0,0.2
152,527.9636,527,9636,403,#0000ff,0.0,0.0,0.2
262,719.2098,719,2098,403,#0000ff,0.0,0.0,0.2
421,.,104,-1,487,#0000ff,0.0,0.0,0.0
10,126.6339,126,6339,421,#0000ff,0.0,0.0,0.0
352,.,400,-1,421,#4000bf,0.2,0.0,0.0
120,447.509,447,509,352,#4000bf,0.2,0.0,0.0
144,513.547,513,547,352,#4000bf,0.2,0.0,0.0
501,.,70,-1,503,#0000ff,0.0,0.0,0.0
89,329.1590,329,1590,501,#0000ff,0.0,0.0,0.0
390,.,311,-1,501,#0000ff,0.0,0.0,0.0
140,500.2290,500,2290,390,#0000ff,0.0,0.0,0.0
373,.,346,-1,390,#0000ff,0.0,0.0,0.0
106,416.2970,416,2970,373,#0000ff,0.0,0.0,0.0
366,.,371,-1,373,#0000ff,0.0,0.0,0.0
118,443.5848,443,5848,366,#0000ff,0.0,0.0,0.0
362,.,382,-1,366,#0000ff,0.0,0.0,0.0
184,584.7114,584,7114,362,#0000ff,0.0,0.0,0.0
356,.,392,-1,362,#0000ff,0.0,0.0,0.0
105,409.7325,409,7325,356,#0000ff,0.0,0.0,0.0
157,535.4686,535,4686,356,#4000bf,0.2,0.0,0.0
492,.,76,-1,501,#0000ff,0.0,0.0,0.0
38,193.2869,193,2869,492,#0000ff,0.0,0.0,0.0
446,.,90,-1,492,#0000ff,0.0,0.0,0.0
5,119.4647,119,4647,446,#0000ff,0.0,0.0,0.0
416,.,110,-1,446,#0000ff,0.0,0.0,0.0
53,233.4327,233,4327,416,#0000ff,0.0,0.0,0.0
64,255.7038,255,7038,416,#0000ff,0.0,0.0,0.0
486,.,79,-1,492,#0000ff,0.0,0.0,0.0
411,.,209,-1,486,#0000ff,0.0,0.0,0.0
72,284.9518,284,9518,411,#0000ff,0.0,0.0,0.0
88,327.898,327,898,411,#4000bf,0.2,0.0,0.0
413,.,123,-1,486,#0000ff,0.0,0.0,0.0
51,230.7692,230,7692,413,#0000ff,0.0,0.0,0.0
83,318.8649,318,8649,413,#4000bf,0.2,0.0,0.0
477,.,81,-1,486,#0000ff,0.0,0.0,0.0
454,.,89,-1,477,#0000ff,0.0,0.0,0.0
31,174.5748,174,5748,454,#0000ff,0.0,0.0,0.0
365,.,373,-1,454,#80007f,0.4,0.0,0.0
183,582.8074,582,8074,365,#c0003f,0.6000000000000001,0.0,0.0
